"","0 Prized","1 Prized","2 Prized","3 Prized","4 Prized","5 Prized","6 Prized","Expected Number Prized"
"31 Copy(s) of Card Total",0.00948828156678292,0.0735341821425675,0.220602546427703,0.32807558186684,0.255169897007542,0.0984226745600519,0.0147068364285135,3.1
"32 Copy(s) of Card Total",0.00752518882882783,0.0628189676145627,0.202852916255359,0.324564666008574,0.271510826372557,0.11262671316195,0.0181007217581705,3.2
"33 Copy(s) of Card Total",0.00591264836550758,0.0532138352895681,0.185091601007194,0.318768868401278,0.28689198156115,0.127997961004205,0.0221231043710973,3.3
"34 Copy(s) of Card Total",0.00459872650650589,0.0446733432060572,0.167525037022715,0.310771083172572,0.301059486823429,0.144508553675246,0.0268637695934752,3.4
"35 Copy(s) of Card Total",0.00353748192808146,0.0371435602448553,0.150342981943462,0.300685963886924,0.313759266664616,0.162108954443385,0.032421790888677,3.5
"36 Copy(s) of Card Total",0.00268848626534191,0.0305638438586238,0.133716816881479,0.288658525331447,0.324740840997878,0.180725337598819,0.0389061490664124,3.6
"37 Copy(s) of Card Total",0.00201636469900643,0.0248684979544126,0.117798148205112,0.274862345811929,0.333761419914485,0.200256851948691,0.0464363714663632,3.7
"38 Copy(s) of Card Total",0.00149035651665693,0.0199883109292811,0.102717708942139,0.259497369959088,0.340590298071303,0.220572764465225,0.0551431911163063,3.8
"39 Copy(s) of Card Total",0.00108389564847776,0.0158519738589873,0.0885845598002231,0.242787312045056,0.345013548695606,0.241509484086924,0.0651692258647256,3.9
"40 Copy(s) of Card Total",0.000774211177484117,0.0123873788397459,0.0754855898047014,0.224976659810091,0.346839017207223,0.262867465672843,0.0766696774879125,4
"41 Copy(s) of Card Total",0.000541947824238882,0.00952279748305464,0.0634853165536976,0.206327278799517,0.345901614458014,0.284407994109923,0.0898130507715546,4.1
"42 Copy(s) of Card Total",0.000370806406058183,0.00718793956358939,0.0526259860905652,0.187114617210898,0.342068909588673,0.305849848573402,0.104781892566814,4.2
"43 Copy(s) of Card Total",0.000247204270705456,0.00531489182016728,0.0429279723936588,0.16762351125143,0.335247022502859,0.326865846940288,0.121773550820892,4.3
"44 Copy(s) of Card Total",0.000159955704574118,0.00383893690977883,0.0343904764834354,0.148143591005568,0.325386815958658,0.347079270355901,0.141000953582085,4.4
"45 Copy(s) of Card Total",9.9972315358824e-05,0.00269925251468824,0.0269925251468824,0.128964286812883,0.312490387277369,0.36606016795349,0.162693407979329,4.5
"46 Copy(s) of Card Total",5.99833892152944e-05,0.00183949060260236,0.0206942692792765,0.110369436156141,0.29661785966963,0.383321541726906,0.187097419176228,4.6
"47 Copy(s) of Card Total",3.42762224087396e-05,0.00120823683990807,0.0154385818432698,0.0926314910596187,0.277894473178856,0.39831541155636,0.214477529299579,4.7
"48 Copy(s) of Card Total",1.84564274508598e-05,0.00075935015797823,0.0111529554453053,0.0760053259976358,0.256517975242021,0.410428760387233,0.245117176342376,4.8
"49 Copy(s) of Card Total",9.22821372542989e-06,0.000452182472546064,0.0077516995293611,0.0607216463133286,0.23276631086776,0.418979359561967,0.279319573041312,4.9
"50 Copy(s) of Card Total",4.19464260246813e-06,0.000251678556148088,0.00513843718802346,0.046979997147643,0.207005612431802,0.423211474305018,0.317408605728763,5
"51 Copy(s) of Card Total",1.67785704098725e-06,0.000128356063635525,0.00320890159088812,0.0349413728785595,0.179698489089735,0.422291449360876,0.359729753159265,5.1
"52 Copy(s) of Card Total",5.59285680329085e-07,5.81657107542247e-05,0.00185403203029091,0.0247204270705455,0.151412615807091,0.415303174785164,0.406651025310473,5.2
"53 Copy(s) of Card Total",1.39821420082271e-07,2.22316057930811e-05,0.000963369584366846,0.0163772829342364,0.122829622006773,0.401243431888792,0.458563922158619,5.3
"54 Copy(s) of Card Total",1.99744885831816e-08,6.47173430095083e-06,0.000428752397437992,0.0099089442963447,0.0947542798337963,0.379017119335185,0.515884412428446,5.4
"55 Copy(s) of Card Total",0,1.09859687207499e-06,0.000148310577730123,0.00524030707979768,0.0681239920373699,0.347432359390586,0.579053932317644,5.5
"56 Copy(s) of Card Total",0,0,3.07607124180996e-05,0.00221477129410317,0.0440185794703005,0.305195484327417,0.648540404195761,5.6
"57 Copy(s) of Card Total",0,0,0,0.000584453535943892,0.0236703682057277,0.250905902980713,0.724839275277616,5.7
"58 Copy(s) of Card Total",0,0,0,0,0.00847457627118644,0.183050847457627,0.808474576271186,5.8
"59 Copy(s) of Card Total",0,0,0,0,0,0.1,0.9,5.9
