File,Title,Name of Author,Period,Date,Culture,Materials,Unit,Specific Unit,
72.png,Birth of Venus,Sandro Botticelli,Early Italian Renaissance,1484-1486 CE,"Florence, Italy",Tempera on canvas,3,9,
73.png,Last Supper,Leonardo da Vinci,High Italian Renaissance,1494-1498 CE,"Milan, Italy",Oil and tempera,3,10,
74.png,Adam and Eve,Albrecht Durer,Northern High Renaissance,1504 CE,Germany,Engraving,3,11,
75a.png/75b.png/75c.png/75d.png,Sistine Chapel ceiling and altar wall frescoes:Sistine Chapel/The Delphic Sibyl/The Flood/Sistine Chapel,Michelangelo,High Italian Renaissance,1508-1512 CE/1536-1541 CE,"Vatican City, Italy",fresco,3,10,
76.png,School of Athens,Raphael,High Italian Renaissance,1509-1511 CE,"Vatican City, Italy",Fresco,3,10,
77a.png/77b.png,"Isenheim altarpiece:Isenheim altarpiece, closed/Isenheim altarpiece, open",Matthais Grunewald,Northern High Renaissance,1512-1516 CE,Germany,Oil on Wood,3,11,
78.png,Entombment of Christ,Jacopo da Pontormo,Mannerism,1525-1528 CE,"Florence, Italy",Oil on Wood,3,10,
79.png,Allegory of Law and Grace,Lucas Cranach the Elder,Northern High Renaissance,1530 CE,Germany,Woodcut,3,11,
80.png,Venus of Urbino,Titian,High Renaissance,1538 CE,"Venice, Italy",Oil on canvas,3,10,
81.png,Frontispiece of the Codex Mendoza,Antonio Mendoza (Viceroy of New Spain)/Ingienous/Spanish priests,Early Colonial Americas,1541-1542 CE,"Mexico City, Mexico",Pigment on Paper,3,11,
82a.png/82b.png/82c.png,"II Gesu:II Gesu, II Gesu, Triumph of the Name of Jesus",Giacomo da Vignola/Giacomo della Porta/Giovanni Battista Gaulli,Baroque,1500-1599 CE/1568-1584 CE/1676-1679 CE,"Rome, Italy","Brick, marble, fresco, and stucco",3,12,
83.png,Hunters in the Snow,Pieter Bruegel the Elder,Northern High Renaissance,1565 CE,"Dutch, Netherlands",Oil on Wood,3,11,
84a.png/84b.png/84c.png,Mosque of Selim II,Sinan,Islamic,1568-1575 CE,"Edirne, Turkey",Brick and stone,3,11,
85.png,Calling of Saint Matthew,Caravaggio,Baroque,1597-1601 CE,"Rome, Italy",Oil on canvas,3,12,
86.png,"Henri IV Receives the Portrait of Marie de' Medici, from the Marie de' Medici cycle",Peter Paul Rubens,Baroque,1621-1625 CE,Flemish (Belgium),Oil on Canvas,3,12,
87.png,Self-Portrait with Saskia,Rembrandt van Rijn,Baroque,1636 CE,"Dutch, Netherlands",Etching,3,13,
88a.png/88b.png/88c.png,San Carlo alle Quattro Fontane,Francesco Borromini,Baroque,1638-1646 CE,"Rome, Italy",Stone and stucco,3,12,
89a.png/89b.png/89c.png,Ecstasy of Saint Teresa,Gian Lorenzo Bernini,Baroque,1647-1652 CE,"Rome, Italy",Marble/stucco and gilt bronze,3,12,
90.png,"Angel with Arquebus, Asiel Timor Dei",Master of Calamarca (La Paz School),Early Colonial Americas,1600-1699 CE,South America,Oil on canvas,3,12,
91.png,Las Meninas,Diego Velazquez,Baroque,1656 CE,"Madrid, Spain",Oil on canvas,3,13,
92.png,Woman Holding a Balance,Johannes Vermeer,Baroque,1664 CE,"Dutch, Netherlands",Oil on canvas,3,13,
93a.png/93b.png/93c.png/93d.png/93e.png,The Palace at Versailles:The Palace at Versailles/The Palace at Versailles/Courtyard/Hall of Mirrors/Gardens,Louis Le Vau and Jules Hardouin-Mansart,Baroque,1669 CE,"Versailles, France","Masonry, stone, wood, iron, gold leaf/marble, bronze",3,12,
94a.png/94b.png,Screen with the Siege of Belgrade and hunting scene:Siege of Belgrade/Hunting scene,Circle of the Gonzalez Family,Early Colonial Americas,1697-1701 CE,"Mexico, Spanish Americas","Tempera and resin on wood, shell inlay",3,13,
95.png,The Virgin of Guadalupe (Virgen de Guadalupe),Miquel Gonzalez,Early Colonial Americas,1698 CE,Mexico,"Oil on wood, inlaid with mother-of-pearl",3,13,
96.png,Fruit and Insects,Rachel Ruysch,Baroque,1711 CE,"Dutch, Netherlands",Oil on wood,3,13,
97.png,Spaniard and Indian Produce a Mestizo,Attributed to Juan Rodriguez Juarez,Early Colonial Americas,1715 CE,Spanish Colonial Mexico,Oil on canvas,3,13,
98.png,"The Tete a Tete, from Marriage a la Mode",William Hogarth,England 18th century,1743 CE,England,Oil on canvas,3,13,
99.png,Portrait of Sor Juana Ines de la Cruz,Miguel Cabrera,,1750 CE,Mexico,Oil on canvas,4,19,
100.png,A Philosopher Giving a Lecture on the Orrery,Joseph Wright of Derby,Age of Enlightenment,1763-1765 CE,England,Oil on canvas,4,14,
101.png,The Swing,Jean-Honore Fragonard,Rococo,1767 CE,France,Oil on canvas,4,14,
102a.png/102b.png,Monticello,Thomas Jefferson,Neoclassical,1768-1809 CE,"Virginia, USA","Brick, glass, stone, wood",4,14,
103.png,The Oath of the Horatii,Jacques-Louis David,Neoclassical,1784 CE,France,Oil on canvas,4,14,
104.png,George Washington,Jean-Antoine Houdon,Neoclassical,1788-1792 CE,USA,Marble,4,14,
105.png,Self-Portrait,Elisabeth Louise Vigee Le Brun,Rococo,1790 CE,France,Oil on canvas,4,14,
106.png,"Y no hai remedio (And There's Nothing to Be Done)(from Los Desastres de la Guerra (The Disasters of War), plate 15)",Francisco de Goya,Romanticism,1810-1823 CE/1863 CE,Spain,Drypoint etching,4,14,
107.png,La Grande Odalisque,Jean-Auguste-Dominique Ingres,Neoclassical/Romanticism,1814 CE,France,Oil on canvas,4,14,
108.png,Liberty Leading the People,Eugene Delascroix,Romanticism,1830 CE,France,Oil on canvas,4,14,
109.png,"The Oxbow (View from Mount Holyoke, Northampton, Massachusetts, after a Thunderstorm)",Thomas Cole,Hudson River School,1836 CE,USA,Oil on canvas,4,14,
110.png,Still Life in Studio,Louis-Jacques-Mande Daguerre,,1837 CE,France,Daguerreotype,4,15,
111.png,"Slave Ship (Slavers Throwing Overboard the Dead and Dying, Typhoon Coming On)",Joseph Mallord William Turner,Romanticism,1840 CE,England,Oil on canvas,4,14,
112a.png/112b.png/112c.png,Palace of Westminster (Houses of Parliament): Palace of Westminster/Central Lobby/Westminster Hall,Sir Charles Barry and Augustus W.N. Pugin,Gothic Revival,1840-1870 CE,"London, England","Limestone, masonry, glass",4,15,
113.png,The Stone Breakers,Gustave Courbet,Realism,1849 CE,France,Oil on canvas,4,15,
114.png,Nadar Raising Photography to the Height of Art,Honore Daumier,,1862 CE,France,Lithograph,4,15,
115.png,Olympia,Edouard Manet,Realism,1863 CE,France,Oil on canvas,4,15,
116.png,The Saint-Lazare Station,Claude Monet,Impressionism,1877 CE,France,Oil on canvas,4,16,
117.png,The Horse in Motion,Eadweard Muybridge,,1878 CE,America,Albumen Print,4,15,
118.png,The Valley of Mexico from the Hillside of Santa Isabel (El Valle de Mexico desde el Cerro de Santa Isabel),Jose Maria Velasco,,1882 CE,Mexico,Oil on canvas,4,19,
119.png,The Burghers of Calais,Auguste Rodin,Impressionism,1884-1895 CE,France,Bronze,4,16,
120.png,The Starry Night,Vincent van Gogh,Post-Impressionism,1889 CE,France,Oil on canvas,4,16,
121.png,The Coiffure,Mary Cassatt,Impressionism,1890-1891 CE,France,Drypoint and aquatint on laid paper,4,16,
122.png,The Scream,Edvard Munch,Post-Impressionism,1893 CE,Norway,Tempera and pastels on cardboard,4,16,
123.png,Where Do We Come From? What Are We? Where Are We Going?,Paul Gauguin,Post-Impressionism,1897-1898 CE,South Pacific,Oil on canvas,4,16,
124a.png/124b.png/124c.png,"Carson, Pirie, Scott and Company Building",US Louis Sullivan,,1899-1903 CE,"Chicago, Illinois","Iron, steel, glass, terra cotta",4,15,
125.png,Mont Sainte-Victoire,Paul Cezanne,Post-Impressionism,1902-1904 CE,France,Oil on canvas,4,16,
126.png,Les Demoiselles d'Avignon,Pablo Picasso,Cubism,1907 CE,,Oil on canvas,4,16,
127.png,The Steerage,Alfred Stieglitz,,1907 CE,America,Photogravure,4,15,
128.png,The Kiss,Gustav Klimt,Vienna Secession,1907-1908 CE,Vienna ,Oil on canvas,4,16,
129.png,The Kiss,Constantin Brancusi,Cubism,1907-1908 CE,Romanian,Limestone,4,16,
130.png,The Portuguese,George Braque,Cubism,1911 CE,France,Oil on canvas,4,16,
131.png,Goldfish,Henri Matisse,Fauvism,1912 CE,France,Oil on canvas,4,16,
132.png,Improvisation 28 (second version),Wassily Kandinsky,Expressionism,1912 CE,Germany (Russian),Oil on canvas,4,17,
133.png,Self-Portrait as a soldier,Ernst Ludwig Kirchner,Expressionism,1915 CE,Germany,Oil on canvas,4,17,
134.png,Memorial Sheet for Karl Liebknecht,Kathe Kollwitz,Expressionism,1919-1920 CE,Germany,Woodcut with white and black ink added,4,17,
135a.png/135b.png,Villa Savoye,Le Corbusier,International Style,1929 CE,"Poissy-sur-Seine, France",Steel and reinforced concrete,4,17,
136.png,"Composition with Red, Blue and Yellow",Piet Mondrian,De Stijl,1930 CE,"Dutch, Netherlands",Oil on canvas,4,17,
137.png,Illustration from The Results of the First Five-Year Plan,Varvara Stepanova,Soviet Avant-garde,1932 CE,"Russian, Russia",Photomontage,4,17,
138.png,Object (Le Dejeuner en forrure),Meret Oppenheim,Surrealism,1936 CE,"Swiss, Switzerland","Fur covered cup, saucer, spoon",4,17,
139a.png/139b.png/139c.png,Fallingwater,Frank Lloyd Wright,Prairie School,1936-1939 CE,"Pennsylvania, USA","Reinforced concrete, sandstone, steel, glass",4,17,
140.png,The Two Fridas,Frida Kahlo,,1939 CE,Mexico,Oil on canvas,4,19,
141.png,"The Migration of the Negro, Panel no. 49",Jacob Lawrence,,1940-1941 CE,African American,Casein tempera on hardboard,4,19,
142.png,The Jungle,Wilfredo Lam,,1943 CE,Cuba,Gouache on paper mounted on canvas,4,19,
143.png,Dream of a Sunday Afternoon in the Alameda Park,Diego Rivera,,1947-1948 CE,Mexico,Fresco,4,19,
144.png,Fountain (second version),Marcel Duchamp,Dada,1950 CE/1917 CE,"America, USA",Readymade glazed sanitary china with black paint,4,17,
145.png,"Woman, I",Willem de Kooning,Abstract Expressionism,1950-1952 CE,"America, USA",Oil on canvas,4,18,
146.png,Seagram Building,Ludwig Mies van der Rohe and Philip Johnson,International Style,1954-1958 CE,"New York City, USA",Steel frame with glass curtain wall and bronze,4,17,
147.png,Marilyn Diptych,Andy Warhol,Pop Art,1962 CE,"America, USA","Oil, acrylic, silkscreen enamel on canvas",4,18,
148.png,Narcissus Garden,Yayoi Kusama,,1966 CE,,Mirror balls,4,18,
149.png,The Bay,Helen Frankenthaler,Color-Field,1963 CE,"America, USA",Acrylic on canvas,4,18,
150.png,Lipstick (Ascending) on Caterpillar Tracks,Claes Oldenburg,Pop Art,1969-1974 CE,"America, USA","Corten steel, stell, aluminum, cast resin, painted with polyurethane enamel",4,18,
151.png,Spiral Jetty,Robert Smithson,Earthwork,1970 CE,"Great Salt Lake, Utah, USA","Earthwork, mud, precipitated salt crystals, rocks, water coil",4,18,
152a.png/152b.png,House in New Castle County,"Robert Venturi, John Rauch, Denise Scott Brown",Post Modern Architecture,1978-1983 CE,"Delaware, USA","Wood frame, stucco",4,18,
153a.png/153b.png/153c.png/153d.png,Chavin de Huantar:Chavin de Huantar plan/Lanzon Stela/Relief sculpture/Nose ornament,,,900-200 BCE,"Northern highlands, Peru, Chavin","Stone (architectural complex), granite (Lanzon and sculpture), hammered gold alloy (jewelry)",5,20,
154.png,Mesa Verde Cliff Dwellings,,,450-1300 CE,"Montezuma Country, Colorado, Anasazi",Sandstone,5,21,
155a.png/155b.png/155c.png,Yaxchilan,,,725 CE,"Chipas, Mexico, Maya",Limestone (Architectural complex),5,20,
156.png,Great Serpent Mound,,,1070 CE,"Adams County, southern Ohio, Mississippian, Eastern Woodlands",Earthwork/effigy mount,5,21,
157a.png/157b.png/157c.png/157d.png,Templo Mayor (Main Temple):Templo Mayor (reconstruction drawing)/The Coyolxauhqui Stone/Calendar Stone/Olmec-style mask,,,1375-1520 CE,"Tenochtitlan, Mexica, Aztec",Stone/volcanic stone/basalt/jadeite,5,20,
158.png,Ruler's feather headdress (probably of Motecuhzoma II),,,1428-1520 CE,"Mexica, Aztec",Feathers (quetzal and cotinga) and gold,5,20,
159a.png/159b.png/159c.png,City of Cusco:Qorikancha (Inka main temple)/Santo Domingo (Spanish colonial convent)/Walls at Saqsa Waman (Sacsayhuaman),,,1440 CE/1550-1650 CE,"Central highlands, Peru, Inka",Andesite,5,20,
160.png,Maize cobs,,,1400-1533 CE,Inca,"Sheet metal, repousse, gold and silver alloys",5,20,
161a.png/161b.png/161c.png,City of Machu Picchu:City of Machu Pichu/Observatory/Intihuatana Stone,,,1450-1540 CE,"Central highlands, Peru, Inka",Granite (architectural complex),5,20,
162.png,All-T'oqapu tunic,,,1450-1540 CE,Inca,Camelid fiber and cotton,5,20,
163.png,Bandolier bag,,,1850 CE,Lenape (eastern Delaware) tribe,Beadwork on leather,5,21,
164a.png/164b.png,Transformation mask,,,1850-1900 CE,"Kwakiutl, Northwest coast of Canada","Wood, paint, string",5,21,
165.png,Painted elk hide (Hide painting of Sun Dance),Attributed to Cotsiogo (Cadzi Cody),,1890-1900 CE,"Eastern Shoshone, Wind River Reservation, Wyoming",Painted elk hide,5,21,
166.png,Black-on-black ceramic vessel,"Maria Martinez, Julian Martinez",,1925-1975 CE,"Tewa, Puebloan, San Ildefonso Pueblo, New Mexico",Blackware ceramic,5,21,
167a.png/167b.png,Great Zimbabwe:Conical tower/Circular wall,,,1000-1400 CE,"Southeastern Zimbabwe, Shone peoples",Coursed granite blocks,6,22,
168a.png/168b.png,Great Mosque of Djenne,,,1200 CE/1906-1907 CE,Mali,Adobe,6,22,
169a.png/169b.png,"Wall plaque, from Oba's palace:Wall plaque, from Oba's palace/Oba of Benin (contextual photograph)",,,1500-1599 CE,"Edo peoples, Benin, Nigeria",Cast Brass,6,22,
170a.png/170b.png,Sika dwa kofi (Golden Stool),,,1700 CE,"Ashanti peoples, south central Ghana","Gold over wood, cast-gold attachments",6,22,
171a.png/171b.png,Ndop (portrait figure) of King Mishe miShyaang maMbul:Ndop/Ndop (contextual photograph),,,1760-1780 CE,"Kuba peoples, Democratic Republic of the Congo",Wood,6,22,
172.png,Power figure (Nkisi n'kondi),,,1850-1899 CE,"Kongo peoples, Democratic Republic of the Congo","Wood, metal",6,22,
173.png,Female (Pwo) mask,,,1850-1950 CE,"Chokwe peoples, Democratic Republic of the Congo","Wood, fiber, pigment, metal",6,22,
174a.png/174b.png,Portrait mask (Mblo),Owie Kimou,,1850-1950 CE,"Baule peoples, Cote d'Ivoire","Wood, pigment",6,22,
175a.png/175b.png,Bundu mask,,,1800-1999 CE,"Sande society, Mende peoples, West African forests of Sierra Leone and Liberia","Wood, cloth, fiber",6,22,
176.png,Ikenga (shrine figure),,,1800-1999 CE,"Igbo peoples, Nigeria",Wood,6,22,
177a.png/177b.png,Lukasa (memory board),,,1800-1999 CE,"Mbudye Society, Luba peoples, Democratic Republic of the Congo","Wood, beads, metal",6,22,
178a.png/178b.png,Aka elephant mask,,,1800-1999 CE,"Kuosi Society, Bamileke peoples, Cameroon, western grassfields region","Wood, woven raffia, cloth, beads",6,22,
179.png,Reliquary figure (byeri),,,1800-1999 CE,"Fang peoples, southern Cameroon",Wood,6,22,
180.png,Veranda post of enthroned king and senior wife (Opo Ogoga),Olowe of Ise,,1910-1914 CE,"Yoruba peoples, Nigeria","Wood, pigment",6,22,
181a.png/181b.png/181c.png,Petra Jordan:Petra/Treasury/Great Temple,,,400 BCE-100 CE,"Nabatean, Ptolemaic, Roman",Cut rock ,7,23,
182a.png/182b.png,Buddha,,,400-800 CE,"Bamiyan, Afghanistan, Gandharan","Cut rock, plaster, polychrome paint",7,23,
183a.png/183b.png/183c.png,The Kaaba,,,631-632 CE,"Mecca, Saudi Arabia, Islamic","Granite masconry, covered with silk curtain, calligraphy in gold and silver wrapped thread",7,23,
